StudentID,Name,Email,DOB,student_fullname
139,PHILLIP CAREY,phillip.careyuniversity.mu,2001-01-31,RABENARIVO KIADY MANITRIALA
140,megan brown,,2000-05-20,RABENARIVO KIADY MANITRIALA
141,julia santiago,julia.santiagouniversity.mu,2006-11-10,RABENARIVO KIADY MANITRIALA
142,ALEJANDRO LOPEZ,,2003-01-06,RABENARIVO KIADY MANITRIALA
143,CHRISTOPHER MYERS,,2003-11-23,RABENARIVO KIADY MANITRIALA
144,JEFFREY SMITH,jeffrey.smith@university.mu,2004-07-12,RABENARIVO KIADY MANITRIALA
145,brandon branch,brandon.branchuniversity.mu,2003-04-27,RABENARIVO KIADY MANITRIALA
146,katie wilkinson,,2007-09-10,RABENARIVO KIADY MANITRIALA
147,ronald scott,,2002-01-15,RABENARIVO KIADY MANITRIALA
148,heather stanley,heather.stanleyuniversity.mu,2002-12-01,RABENARIVO KIADY MANITRIALA
149,joseph walker jr.,joseph.walker.jr.@university.mu,2006-03-04,RABENARIVO KIADY MANITRIALA
150,christine white,,2000-05-19,RABENARIVO KIADY MANITRIALA
151,carmen maxwell,,2001-10-02,RABENARIVO KIADY MANITRIALA
152,GORDON LYONS,,2006-09-15,RABENARIVO KIADY MANITRIALA
153,kristen nguyen,,2007-10-30,RABENARIVO KIADY MANITRIALA
154,ashley stone,ashley.stoneuniversity.mu,2007-07-11,RABENARIVO KIADY MANITRIALA
155,ethan smith,ethan.smithuniversity.mu,2004-07-03,RABENARIVO KIADY MANITRIALA
156,STEPHEN LANE,stephen.laneuniversity.mu,2004-07-12,RABENARIVO KIADY MANITRIALA
157,jose gregory,,2007-05-20,RABENARIVO KIADY MANITRIALA
158,crystal mahoney,crystal.mahoneyuniversity.mu,2001-10-25,RABENARIVO KIADY MANITRIALA
159,ALEXANDRA HUGHES,alexandra.hughesuniversity.mu,2001-09-10,RABENARIVO KIADY MANITRIALA
160,  nancy frank  ,,2003-10-28,RABENARIVO KIADY MANITRIALA
161,douglas glass,,2000-08-23,RABENARIVO KIADY MANITRIALA
162,KAREN ROMAN,,2000-05-02,RABENARIVO KIADY MANITRIALA
163,bonnie booker,,2002-04-26,RABENARIVO KIADY MANITRIALA
164,david harris,david.harris@university.mu,2000-09-28,RABENARIVO KIADY MANITRIALA
165,melissa eaton,,2007-03-24,RABENARIVO KIADY MANITRIALA
166,RAVEN QUINN,,2002-05-28,RABENARIVO KIADY MANITRIALA
167,amy medina,,2004-01-22,RABENARIVO KIADY MANITRIALA
168,MAURICE NGUYEN,maurice.nguyenuniversity.mu,2000-10-24,RABENARIVO KIADY MANITRIALA
169,  dana hughes  ,dana.hughes@university.mu,2002-10-18,RABENARIVO KIADY MANITRIALA
170,ALEXANDER GARCIA,,2000-09-27,RABENARIVO KIADY MANITRIALA
171,autumn cross,autumn.crossuniversity.mu,2002-08-23,RABENARIVO KIADY MANITRIALA
172,  KENNETH JOHNSON  ,kenneth.johnsonuniversity.mu,1999-12-27,RABENARIVO KIADY MANITRIALA
173,emily williams,,2006-08-01,RABENARIVO KIADY MANITRIALA
174,tony richardson jr.,tony.richardson.jr.@university.mu,2004-01-15,RABENARIVO KIADY MANITRIALA
175,kathy wolfe,,2007-08-01,RABENARIVO KIADY MANITRIALA
176,MRS. JENNIFER ALEXANDER,mrs..jennifer.alexanderuniversity.mu,2003-02-03,RABENARIVO KIADY MANITRIALA
177,timothy mcfarland,timothy.mcfarland@university.mu,2004-10-18,RABENARIVO KIADY MANITRIALA
178,DEBORAH WILLIAMS,deborah.williams@university.mu,2000-03-24,RABENARIVO KIADY MANITRIALA
179,JONATHAN JOHNSON,,2007-09-18,RABENARIVO KIADY MANITRIALA
180,ELLEN SMITH,,2005-06-17,RABENARIVO KIADY MANITRIALA
181,HEATHER CHAN,heather.chan@university.mu,2006-07-24,RABENARIVO KIADY MANITRIALA
182,michael davis,michael.davis@university.mu,2003-06-19,RABENARIVO KIADY MANITRIALA
183,BETHANY STONE,bethany.stone@university.mu,2005-08-01,RABENARIVO KIADY MANITRIALA
184,STEPHANIE LEACH,,2000-12-25,RABENARIVO KIADY MANITRIALA
185,  brandon white  ,brandon.whiteuniversity.mu,2003-10-25,RABENARIVO KIADY MANITRIALA
186,JOSHUA GOMEZ,joshua.gomezuniversity.mu,2007-06-27,RABENARIVO KIADY MANITRIALA
187,BETH WHITE,beth.whiteuniversity.mu,2004-04-03,RABENARIVO KIADY MANITRIALA
188,sean fischer,sean.fischeruniversity.mu,2007-10-15,RABENARIVO KIADY MANITRIALA
189,james estes,james.estes@university.mu,2001-12-01,RABENARIVO KIADY MANITRIALA
190,STEPHANIE CARTER,stephanie.carteruniversity.mu,2002-04-25,RABENARIVO KIADY MANITRIALA
191,robert watson,robert.watsonuniversity.mu,2001-03-27,RABENARIVO KIADY MANITRIALA
192,william wilson,william.wilsonuniversity.mu,2007-07-03,RABENARIVO KIADY MANITRIALA
193,dennis james,,2005-03-17,RABENARIVO KIADY MANITRIALA
194,peter campbell,,2005-11-13,RABENARIVO KIADY MANITRIALA
195,CHRISTINE WOOD,,2005-01-12,RABENARIVO KIADY MANITRIALA
196,BENJAMIN BLANKENSHIP,,2002-06-10,RABENARIVO KIADY MANITRIALA
197,CHARLES PRICE,,2002-05-28,RABENARIVO KIADY MANITRIALA
198,dr. sarah haas,,2003-02-23,RABENARIVO KIADY MANITRIALA
199,  terry christensen  ,,2004-11-30,RABENARIVO KIADY MANITRIALA
200,MICHAEL MORGAN,michael.morgan@university.mu,2001-04-30,RABENARIVO KIADY MANITRIALA
